商品编号,总销量,平均销量,订单次数,总销售额,平均销售额,首次销售,最后销售,覆盖省份,客户数,近30天销量,近60天销量,近90天销量,商品大类,商品小类,销售单价,距今天数,销量趋势,热度标签,大类编码,小类编码,热度编码,聚类标签
X022,328742.0,888.4918918918919,370,51941236.0,140381.71891891892,2025-01-01,2050-06-09,29,308,759.0,759.0,759.0,护肤品,眼霜,158.0,0,1.0,正常,1,4,0,2
X023,374458.0,874.9018691588785,428,87997630.0,205601.93925233645,2025-01-01,2025-09-30,29,335,0.0,0.0,0.0,护肤品,眼霜,235.0,9018,0.0,热销,1,4,2,3
X024,356235.0,897.3173803526448,397,83715225.0,210869.58438287154,2025-01-01,2025-09-30,28,325,0.0,0.0,0.0,护肤品,眼霜,235.0,9018,0.0,热销,1,4,2,3
X025,368243.0,916.0273631840796,402,37560786.0,93434.79104477612,2025-01-03,2025-09-30,29,324,0.0,0.0,0.0,护肤品,眼霜,102.0,9018,0.0,热销,1,4,2,1
X026,351001.0,851.9441747572815,412,35451101.0,86046.36165048544,2025-01-02,2025-09-30,27,339,0.0,0.0,0.0,护肤品,面霜,101.0,9018,0.0,热销,1,11,2,1
X027,343060.0,907.5661375661375,378,56261840.0,148840.84656084655,2025-01-03,2025-09-30,27,329,0.0,0.0,0.0,护肤品,面霜,164.0,9018,0.0,热销,1,11,2,1
X028,60409.0,888.3676470588235,68,8457260.0,124371.4705882353,2025-01-14,2025-09-28,24,68,0.0,0.0,0.0,护肤品,面霜,140.0,9020,0.0,滞销预警,1,11,1,0
X029,360882.0,895.4888337468983,403,55575828.0,137905.28039702235,2025-01-01,2025-09-30,28,320,0.0,0.0,0.0,护肤品,面霜,154.0,9018,0.0,热销,1,11,2,1
X030,335415.0,851.3071065989848,394,79493355.0,201759.7842639594,2025-01-04,2025-09-30,29,325,0.0,0.0,0.0,护肤品,面霜,237.0,9018,0.0,热销,1,11,2,3
X031,341142.0,881.5038759689922,387,29464890.0,76136.66666666667,2025-01-02,2025-09-29,29,315,0.0,0.0,0.0,护肤品,面霜,86.0,9019,0.0,正常,1,11,0,1
X032,53230.0,806.5151515151515,66,8410340.0,127429.39393939394,2025-01-01,2025-09-07,17,62,0.0,0.0,0.0,护肤品,面霜,158.0,9041,0.0,滞销预警,1,11,1,0
X033,57531.0,871.6818181818181,66,10182987.0,154287.68181818182,2025-01-04,2025-09-25,22,66,0.0,0.0,0.0,护肤品,面霜,177.0,9023,0.0,滞销预警,1,11,1,0
X034,326502.0,899.4545454545455,363,59423364.0,163700.72727272726,2025-01-03,2025-09-30,28,312,0.0,0.0,0.0,护肤品,面霜,182.0,9018,0.0,正常,1,11,0,1
X035,310221.0,859.3379501385042,361,23576796.0,65309.68421052631,2025-01-01,2025-09-30,28,303,0.0,0.0,0.0,护肤品,面霜,76.0,9018,0.0,正常,1,11,0,1
X036,338442.0,895.3492063492064,378,33505758.0,88639.57142857143,2025-01-01,2025-09-30,29,318,0.0,0.0,0.0,护肤品,面霜,99.0,9018,0.0,正常,1,11,0,1
X037,283378.0,891.125786163522,318,55258710.0,173769.5283018868,2025-01-01,2025-09-30,29,265,0.0,0.0,0.0,护肤品,面霜,195.0,9018,0.0,滞销预警,1,11,1,1
X038,331976.0,855.6082474226804,388,33861552.0,87272.0412371134,2025-01-01,2025-09-30,27,320,0.0,0.0,0.0,护肤品,面霜,102.0,9018,0.0,热销,1,11,2,1
X039,314272.0,880.3137254901961,357,33941976.0,95075.56302521008,2025-01-03,2025-09-30,29,300,0.0,0.0,0.0,护肤品,面霜,108.0,9018,0.0,正常,1,11,0,1
X040,321323.0,873.1603260869565,368,45627866.0,123988.76630434782,2025-01-01,2025-09-30,27,309,0.0,0.0,0.0,护肤品,面霜,142.0,9018,0.0,正常,1,11,0,1
X041,297301.0,844.6051136363636,352,63027812.0,179056.2840909091,2025-01-02,2025-09-30,26,300,0.0,0.0,0.0,护肤品,洁面乳,212.0,9018,0.0,正常,1,1,0,3
X042,322762.0,874.6937669376694,369,51319758.0,139077.9349593496,2025-01-02,2025-09-30,27,306,0.0,0.0,0.0,护肤品,洁面乳,159.0,9018,0.0,正常,1,1,0,3
X043,64729.0,789.3780487804878,82,12039594.0,146824.31707317074,2025-01-02,2025-09-30,25,79,0.0,0.0,0.0,护肤品,洁面乳,186.0,9018,0.0,滞销预警,1,1,1,0
X044,374644.0,950.8730964467005,394,65188056.0,165451.9187817259,2025-01-02,2025-09-30,28,317,0.0,0.0,0.0,护肤品,洁面乳,174.0,9018,0.0,热销,1,1,2,3
X045,359552.0,907.959595959596,396,73708160.0,186131.71717171717,2025-01-02,2025-09-30,29,312,0.0,0.0,0.0,护肤品,洁面乳,205.0,9018,0.0,热销,1,1,2,3
X046,327941.0,836.5841836734694,392,79033781.0,201616.78826530612,2025-01-01,2025-09-29,28,326,0.0,0.0,0.0,护肤品,洁面乳,241.0,9019,0.0,热销,1,1,2,3
X047,389457.0,918.5306603773585,424,74775744.0,176357.88679245283,2025-01-01,2025-09-30,28,352,0.0,0.0,0.0,护肤品,爽肤水,192.0,9018,0.0,热销,1,2,2,3
X048,349336.0,909.7291666666666,384,21309556.0,55493.635416666664,2025-01-02,2025-09-30,28,315,0.0,0.0,0.0,护肤品,爽肤水,61.0,9018,0.0,热销,1,2,2,1
X049,346078.0,882.8520408163265,392,78213628.0,199524.5612244898,2025-01-02,2025-09-30,29,320,0.0,0.0,0.0,护肤品,爽肤水,226.0,9018,0.0,热销,1,2,2,3
X050,356920.0,890.074812967581,401,51038702.0,127278.55860349127,2025-01-03,2025-09-30,29,344,0.0,0.0,0.0,护肤品,爽肤水,143.0,9018,0.0,热销,1,2,2,3
X051,352994.0,854.7070217917676,413,71657782.0,173505.5254237288,2025-01-02,2025-09-30,29,333,0.0,0.0,0.0,护肤品,爽肤水,203.0,9018,0.0,热销,1,2,2,3
X052,67745.0,826.1585365853658,82,6909990.0,84268.17073170732,2025-01-20,2025-09-26,23,80,0.0,0.0,0.0,护肤品,爽肤水,102.0,9022,0.0,滞销预警,1,2,1,0
X053,62072.0,862.1111111111111,72,6455488.0,89659.55555555556,2025-01-04,2025-09-29,22,72,0.0,0.0,0.0,护肤品,爽肤水,104.0,9019,0.0,滞销预警,1,2,1,0
X054,314453.0,895.8774928774928,351,26099599.0,74357.83190883191,2025-01-01,2025-09-30,29,290,0.0,0.0,0.0,护肤品,爽肤水,83.0,9018,0.0,正常,1,2,0,1
X055,331048.0,878.1114058355438,377,73492656.0,194940.7320954907,2025-01-01,2025-09-30,28,309,0.0,0.0,0.0,护肤品,爽肤水,222.0,9018,0.0,正常,1,2,0,3
X056,260999.0,781.434131736527,334,60812767.0,182074.1526946108,2025-01-03,2025-09-30,29,287,0.0,0.0,0.0,护肤品,爽肤水,233.0,9018,0.0,滞销预警,1,2,1,3
X057,367315.0,889.3825665859564,413,89992175.0,217898.7288135593,2025-01-03,2025-09-30,26,328,0.0,0.0,0.0,护肤品,爽肤水,245.0,9018,0.0,热销,1,2,2,3
X058,34105.0,793.1395348837209,43,8151095.0,189560.3488372093,2025-01-02,2025-09-27,18,43,0.0,0.0,0.0,护肤品,爽肤水,239.0,9021,0.0,滞销预警,1,2,1,0
X059,369240.0,920.7980049875312,401,20677440.0,51564.68827930174,2025-01-02,2025-09-29,28,334,0.0,0.0,0.0,护肤品,隔离霜,56.0,9019,0.0,热销,1,9,2,1
X060,27849.0,928.3,30,2840598.0,94686.6,2025-01-08,2025-09-24,18,29,0.0,0.0,0.0,护肤品,隔离霜,102.0,9024,0.0,滞销预警,1,9,1,0
X061,330588.0,903.2459016393443,366,67109964.0,183360.55737704918,2025-01-02,2025-09-30,27,301,0.0,0.0,0.0,护肤品,隔离霜,203.0,9018,0.0,正常,1,9,0,3
X062,355291.0,881.6153846153846,403,84914549.0,210706.07692307694,2025-01-01,2025-09-30,27,313,0.0,0.0,0.0,护肤品,隔离霜,239.0,9018,0.0,热销,1,9,2,3
X063,69876.0,944.2702702702703,74,11319912.0,152971.7837837838,2025-01-03,2025-09-30,25,72,0.0,0.0,0.0,护肤品,隔离霜,162.0,9018,0.0,滞销预警,1,9,1,0
X064,317196.0,866.655737704918,366,47579400.0,129998.3606557377,2025-01-01,2025-09-30,29,303,0.0,0.0,0.0,护肤品,隔离霜,150.0,9018,0.0,正常,1,9,0,1
X065,353494.0,940.1436170212766,376,49489160.0,131620.10638297873,2025-01-02,2025-09-30,28,317,0.0,0.0,0.0,护肤品,隔离霜,140.0,9018,0.0,热销,1,9,2,1
X066,83023.0,1024.9753086419753,81,9381599.0,115822.20987654322,2025-01-04,2025-09-29,20,77,0.0,0.0,0.0,护肤品,隔离霜,113.0,9019,0.0,滞销预警,1,9,1,0
X067,323909.0,907.3081232492997,357,68668708.0,192349.32212885155,2025-01-02,2025-09-30,29,291,0.0,0.0,0.0,护肤品,隔离霜,212.0,9018,0.0,正常,1,9,0,3
X068,329092.0,877.5786666666667,375,74045700.0,197455.2,2025-01-03,2025-09-30,27,315,0.0,0.0,0.0,护肤品,防晒霜,225.0,9018,0.0,正常,1,8,0,3
X069,341213.0,883.9715025906736,386,85644463.0,221876.84715025907,2025-01-03,2025-09-30,29,318,0.0,0.0,0.0,护肤品,防晒霜,251.0,9018,0.0,正常,1,8,0,3
X070,271860.0,874.1479099678456,311,65790120.0,211543.79421221864,2025-01-02,2025-09-30,29,268,0.0,0.0,0.0,护肤品,防晒霜,242.0,9018,0.0,滞销预警,1,8,1,3
X071,356626.0,896.0452261306533,398,90226378.0,226699.44221105528,2025-01-01,2025-09-30,29,330,0.0,0.0,0.0,护肤品,防晒霜,253.0,9018,0.0,热销,1,8,2,3
X072,337563.0,861.1301020408164,392,20928906.0,53390.066326530614,2025-01-02,2025-09-30,28,316,0.0,0.0,0.0,护肤品,防晒霜,62.0,9018,0.0,热销,1,8,2,1
X073,57588.0,859.5223880597015,67,12035892.0,179640.1791044776,2025-01-05,2025-09-30,19,66,0.0,0.0,0.0,护肤品,防晒霜,209.0,9018,0.0,滞销预警,1,8,1,0
X074,71279.0,1003.9295774647887,71,6201273.0,87341.87323943662,2025-01-04,2025-09-29,21,66,0.0,0.0,0.0,护肤品,防晒霜,87.0,9019,0.0,滞销预警,1,8,1,0
X075,346371.0,879.1142131979695,394,43642746.0,110768.39086294416,2025-01-02,2025-09-30,28,335,0.0,0.0,0.0,护肤品,防晒霜,126.0,9018,0.0,热销,1,8,2,1
X076,64291.0,974.1060606060606,66,7393465.0,112022.19696969698,2025-01-07,2025-09-16,19,63,0.0,0.0,0.0,护肤品,防晒霜,115.0,9032,0.0,滞销预警,1,8,1,0
X077,204981.0,868.5635593220339,236,50630307.0,214535.19915254237,2025-01-01,2025-09-30,27,214,0.0,0.0,0.0,彩妆,口红,247.0,9018,0.0,滞销预警,0,0,1,3
X078,331329.0,843.0763358778626,393,38434164.0,97796.85496183205,2025-01-03,2025-09-30,28,311,0.0,0.0,0.0,彩妆,口红,116.0,9018,0.0,热销,0,0,2,1
X079,351763.0,943.0643431635389,373,45025664.0,120712.23592493297,2025-01-02,2025-09-30,29,298,0.0,0.0,0.0,彩妆,口红,128.0,9018,0.0,热销,0,0,2,3
X080,368684.0,877.8190476190476,420,26545248.0,63202.97142857143,2025-01-03,2025-09-30,29,336,0.0,0.0,0.0,彩妆,口红,72.0,9018,0.0,热销,0,0,2,1
X081,9591.0,1065.6666666666667,9,1956564.0,217396.0,2025-04-09,2025-09-12,7,9,0.0,0.0,0.0,彩妆,口红,204.0,9036,0.0,滞销预警,0,0,1,0
X082,26218.0,936.3571428571429,28,3093724.0,110490.14285714286,2025-02-02,2025-09-30,13,28,0.0,0.0,0.0,彩妆,口红,118.0,9018,0.0,滞销预警,0,0,1,0
X083,53075.0,842.4603174603175,63,11039600.0,175231.74603174604,2025-01-03,2025-09-27,17,60,0.0,0.0,0.0,彩妆,口红,208.0,9021,0.0,滞销预警,0,0,1,0
X084,29984.0,810.3783783783783,37,6656448.0,179904.0,2025-01-15,2025-09-29,20,36,0.0,0.0,0.0,彩妆,口红,222.0,9019,0.0,滞销预警,0,0,1,0
X085,349375.0,916.994750656168,381,81404375.0,213659.77690288713,2025-01-05,2025-09-30,29,312,0.0,0.0,0.0,彩妆,口红,233.0,9018,0.0,热销,0,0,2,3
X086,53584.0,878.4262295081967,61,4929728.0,80815.2131147541,2025-01-04,2025-09-25,23,60,0.0,0.0,0.0,彩妆,口红,92.0,9023,0.0,滞销预警,0,0,1,0
X087,65408.0,896.0,73,5625088.0,77056.0,2025-01-07,2025-09-30,20,71,0.0,0.0,0.0,彩妆,口红,86.0,9018,0.0,滞销预警,0,0,1,0
X088,332724.0,871.0052356020942,382,41590500.0,108875.65445026178,2025-01-02,2025-09-30,29,309,0.0,0.0,0.0,彩妆,粉底,125.0,9018,0.0,正常,0,6,0,1
X089,321620.0,862.2520107238606,373,33448480.0,89674.2091152815,2025-01-02,2025-09-30,29,316,0.0,0.0,0.0,彩妆,粉底,104.0,9018,0.0,正常,0,6,0,1
X090,24697.0,771.78125,32,4865309.0,152040.90625,2025-01-11,2025-09-17,16,31,0.0,0.0,0.0,彩妆,粉底,197.0,9031,0.0,滞销预警,0,6,1,0
X091,267471.0,860.0353697749196,311,57238794.0,184047.5691318328,2025-01-01,2025-09-30,29,265,0.0,0.0,0.0,彩妆,粉底,214.0,9018,0.0,滞销预警,0,6,1,3
X092,54567.0,790.8260869565217,69,3655989.0,52985.34782608696,2025-01-11,2025-09-30,24,66,0.0,0.0,0.0,彩妆,粉底,67.0,9018,0.0,滞销预警,0,6,1,0
X093,8212.0,912.4444444444445,9,845836.0,93981.77777777778,2025-01-02,2025-09-14,8,9,0.0,0.0,0.0,彩妆,粉底,103.0,9034,0.0,滞销预警,0,6,1,0
X094,64430.0,805.375,80,6056420.0,75705.25,2025-01-10,2025-09-30,20,74,0.0,0.0,0.0,彩妆,粉底,94.0,9018,0.0,滞销预警,0,6,1,0
X095,55773.0,774.625,72,5967711.0,82884.875,2025-01-06,2025-09-26,24,70,0.0,0.0,0.0,彩妆,眼影,107.0,9022,0.0,滞销预警,0,3,1,0
X096,31541.0,808.7435897435897,39,6823614.0,174964.46153846153,2025-01-06,2025-09-19,20,38,0.0,0.0,0.0,彩妆,眼影,222.0,9029,0.0,滞销预警,0,3,1,0
X097,65610.0,841.1538461538462,78,3674160.0,47104.61538461538,2025-01-08,2025-09-30,23,74,0.0,0.0,0.0,彩妆,眼影,56.0,9018,0.0,滞销预警,0,3,1,0
X098,37711.0,1019.2162162162163,37,2111816.0,57076.10810810811,2025-01-04,2025-09-26,17,36,0.0,0.0,0.0,彩妆,眼影,56.0,9022,0.0,滞销预警,0,3,1,0
X099,12618.0,1051.5,12,1362744.0,113562.0,2025-01-30,2025-09-05,4,12,0.0,0.0,0.0,彩妆,眼影,108.0,9043,0.0,滞销预警,0,3,1,0
X100,70409.0,880.1125,80,5632720.0,70409.0,2025-01-03,2025-09-24,22,74,0.0,0.0,0.0,彩妆,眼影,80.0,9024,0.0,滞销预警,0,3,1,0
X101,68023.0,919.2297297297297,74,11767979.0,159026.74324324325,2025-01-06,2025-09-24,20,70,0.0,0.0,0.0,彩妆,睫毛膏,173.0,9024,0.0,滞销预警,0,5,1,0
X102,63751.0,923.927536231884,69,10200160.0,147828.40579710144,2025-01-03,2025-09-23,21,66,0.0,0.0,0.0,彩妆,睫毛膏,160.0,9025,0.0,滞销预警,0,5,1,0
X103,70807.0,1056.8208955223881,67,14303014.0,213477.8208955224,2025-01-03,2025-09-29,19,65,0.0,0.0,0.0,彩妆,睫毛膏,202.0,9019,0.0,滞销预警,0,5,1,0
X104,60305.0,861.5,70,11156425.0,159377.5,2025-01-02,2025-09-30,18,67,0.0,0.0,0.0,彩妆,睫毛膏,185.0,9018,0.0,滞销预警,0,5,1,0
X105,43727.0,857.3921568627451,51,4154065.0,81452.25490196078,2025-01-06,2025-09-21,17,49,0.0,0.0,0.0,彩妆,睫毛膏,95.0,9027,0.0,滞销预警,0,5,1,0
X106,55293.0,877.6666666666666,63,12385632.0,196597.33333333334,2025-01-03,2025-09-30,22,62,0.0,0.0,0.0,彩妆,睫毛膏,224.0,9018,0.0,滞销预警,0,5,1,0
X107,20452.0,889.2173913043479,23,3722264.0,161837.5652173913,2025-01-22,2025-09-20,12,23,0.0,0.0,0.0,彩妆,睫毛膏,182.0,9028,0.0,滞销预警,0,5,1,0
X108,72504.0,833.3793103448276,87,16168392.0,185843.58620689655,2025-01-04,2025-09-25,23,87,0.0,0.0,0.0,彩妆,睫毛膏,223.0,9023,0.0,滞销预警,0,5,1,0
X109,7026.0,878.25,8,1264680.0,158085.0,2025-01-17,2025-09-27,7,8,0.0,0.0,0.0,彩妆,睫毛膏,180.0,9021,0.0,滞销预警,0,5,1,0
X110,30920.0,883.4285714285714,35,6307680.0,180219.42857142858,2025-01-03,2025-09-24,14,35,0.0,0.0,0.0,彩妆,睫毛膏,204.0,9024,0.0,滞销预警,0,5,1,0
X111,10752.0,1075.2,10,2150400.0,215040.0,2025-01-06,2025-08-20,8,10,0.0,0.0,0.0,彩妆,睫毛膏,200.0,9059,0.0,滞销预警,0,5,1,0
X112,5864.0,733.0,8,562944.0,70368.0,2025-02-10,2025-09-06,7,8,0.0,0.0,0.0,彩妆,睫毛膏,96.0,9042,0.0,滞销预警,0,5,1,0
X113,6918.0,864.75,8,809406.0,101175.75,2025-02-10,2025-08-30,7,8,0.0,0.0,0.0,彩妆,睫毛膏,117.0,9049,0.0,滞销预警,0,5,1,0
X114,6784.0,753.7777777777778,9,1010816.0,112312.88888888889,2025-05-07,2025-09-27,8,9,0.0,0.0,0.0,彩妆,睫毛膏,149.0,9021,0.0,滞销预警,0,5,1,0
X115,8430.0,1053.75,8,1146480.0,143310.0,2025-01-03,2025-09-13,8,8,0.0,0.0,0.0,彩妆,睫毛膏,136.0,9035,0.0,滞销预警,0,5,1,0
X116,4603.0,657.5714285714286,7,676641.0,96663.0,2025-05-13,2025-08-07,6,7,0.0,0.0,0.0,彩妆,蜜粉,147.0,9072,0.0,滞销预警,0,7,1,0
X117,8555.0,1069.375,8,966715.0,120839.375,2025-02-16,2025-08-12,7,8,0.0,0.0,0.0,彩妆,蜜粉,113.0,9067,0.0,滞销预警,0,7,1,0
X118,1721.0,344.2,5,409598.0,81919.6,2025-05-01,2025-08-13,5,5,0.0,0.0,0.0,彩妆,蜜粉,238.0,9066,0.0,滞销预警,0,7,1,0
X119,8017.0,1002.125,8,1026176.0,128272.0,2025-04-02,2025-09-19,6,8,0.0,0.0,0.0,彩妆,蜜粉,128.0,9029,0.0,滞销预警,0,7,1,0
X120,6898.0,1149.6666666666667,6,1469274.0,244879.0,2025-02-05,2025-08-18,6,6,0.0,0.0,0.0,彩妆,蜜粉,213.0,9061,0.0,滞销预警,0,7,1,0
X121,6428.0,1071.3333333333333,6,488528.0,81421.33333333333,2025-04-14,2025-08-18,6,6,0.0,0.0,0.0,彩妆,蜜粉,76.0,9061,0.0,滞销预警,0,7,1,0
X122,4575.0,653.5714285714286,7,384300.0,54900.0,2025-04-03,2025-09-22,4,7,0.0,0.0,0.0,彩妆,蜜粉,84.0,9026,0.0,滞销预警,0,7,1,0
商品X050,1588.0,1588.0,1,227084.0,227084.0,2025-06-24,2025-06-24,1,1,0.0,0.0,0.0,,,,9116,0.0,滞销预警,2,12,1,0
