订单编号,总金额,买家实际支付金额,收货地址,订单创建时间,订单付款时间,退款金额,下单日期,下单小时,下单星期,是否周末,下单月份,付款延迟(小时),是否付款,是否退款,实际收入,退款比例,金额段,下单时段
33,66.9,0.0,广东省,2025-02-20 23:46:00,2025-02-20 23:46:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,50-100,晚上(18-24)
34,119.0,119.0,北京市,2025-02-20 23:46:00,2025-02-20 23:46:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,119.0,0.0,100-200,晚上(18-24)
35,102.0,64.0,海南省,2025-02-20 23:45:00,2025-02-20 23:45:00,38.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,1,26.0,0.59375,100-200,晚上(18-24)
36,233.0,233.0,四川省,2025-02-20 23:44:00,2025-02-20 23:44:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,233.0,0.0,200-500,晚上(18-24)
37,389.0,389.0,广东省,2025-02-20 23:44:00,2025-02-20 23:44:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,389.0,0.0,200-500,晚上(18-24)
38,37.0,0.0,广东省,2025-02-20 23:43:00,,0.0,2025-02-20,23.0,3.0,0,2.0,-1.0,0,0,0.0,0.0,0-50,晚上(18-24)
39,50.9,50.9,江苏省,2025-02-20 23:43:00,2025-02-20 23:51:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.13333333333333333,1,0,50.9,0.0,50-100,晚上(18-24)
40,139.0,0.0,江西省,2025-02-20 23:43:00,,0.0,2025-02-20,23.0,3.0,0,2.0,-1.0,0,0,0.0,0.0,100-200,晚上(18-24)
41,357.0,0.0,北京市,2025-02-20 23:42:00,,0.0,2025-02-20,23.0,3.0,0,2.0,-1.0,0,0,0.0,0.0,200-500,晚上(18-24)
42,238.0,238.0,四川省,2025-02-20 23:39:00,2025-02-21 00:01:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.36666666666666664,1,0,238.0,0.0,200-500,晚上(18-24)
43,69.0,0.0,甘肃省,2025-02-20 23:38:00,2025-02-20 23:38:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,50-100,晚上(18-24)
44,37.0,0.0,贵州省,2025-02-20 23:38:00,2025-02-20 23:38:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,0-50,晚上(18-24)
45,302.0,302.0,北京市,2025-02-20 23:38:00,2025-02-20 23:39:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,1,0,302.0,0.0,200-500,晚上(18-24)
46,114.0,114.0,江苏省,2025-02-20 23:38:00,2025-02-20 23:38:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,114.0,0.0,100-200,晚上(18-24)
47,212.9,212.9,浙江省,2025-02-20 23:37:00,2025-02-20 23:37:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,212.9,0.0,200-500,晚上(18-24)
48,247.0,247.0,北京市,2025-02-20 23:35:00,2025-02-20 23:35:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,247.0,0.0,200-500,晚上(18-24)
49,119.0,119.0,江苏省,2025-02-20 23:35:00,2025-02-20 23:35:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,119.0,0.0,100-200,晚上(18-24)
50,119.0,119.0,天津市,2025-02-20 23:35:00,2025-02-20 23:35:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,119.0,0.0,100-200,晚上(18-24)
51,69.0,69.0,河北省,2025-02-20 23:34:00,2025-02-20 23:35:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,1,0,69.0,0.0,50-100,晚上(18-24)
52,64.8,64.8,河北省,2025-02-20 23:33:00,2025-02-20 23:34:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,1,0,64.8,0.0,50-100,晚上(18-24)
53,98.9,0.0,海南省,2025-02-20 23:33:00,2025-02-20 23:33:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,50-100,晚上(18-24)
54,34.9,34.9,黑龙江省,2025-02-20 23:32:00,2025-02-20 23:32:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,34.9,0.0,0-50,晚上(18-24)
55,101.0,101.0,广东省,2025-02-20 23:32:00,2025-02-20 23:32:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,101.0,0.0,100-200,晚上(18-24)
56,53.0,53.0,上海市,2025-02-20 23:31:00,2025-02-20 23:32:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,1,0,53.0,0.0,50-100,晚上(18-24)
57,119.0,0.0,云南省,2025-02-20 23:31:00,,0.0,2025-02-20,23.0,3.0,0,2.0,-1.0,0,0,0.0,0.0,100-200,晚上(18-24)
58,119.0,0.0,重庆市,2025-02-20 23:30:00,2025-02-20 23:31:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,0,0,0.0,0.0,100-200,晚上(18-24)
59,37.0,37.0,北京市,2025-02-20 23:30:00,2025-02-20 23:33:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.05,1,0,37.0,0.0,0-50,晚上(18-24)
60,37.0,37.0,北京市,2025-02-20 23:30:00,2025-02-20 23:30:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,37.0,0.0,0-50,晚上(18-24)
61,69.0,69.0,广东省,2025-02-20 23:30:00,2025-02-20 23:30:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,69.0,0.0,50-100,晚上(18-24)
62,119.0,119.0,广东省,2025-02-20 23:29:00,2025-02-20 23:29:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,119.0,0.0,100-200,晚上(18-24)
63,37.0,0.0,重庆市,2025-02-20 23:28:00,,0.0,2025-02-20,23.0,3.0,0,2.0,-1.0,0,0,0.0,0.0,0-50,晚上(18-24)
64,259.0,0.0,天津市,2025-02-20 23:28:00,,0.0,2025-02-20,23.0,3.0,0,2.0,-1.0,0,0,0.0,0.0,200-500,晚上(18-24)
65,210.8,210.8,湖南省,2025-02-20 23:28:00,2025-02-20 23:28:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,210.8,0.0,200-500,晚上(18-24)
66,183.0,183.0,山西省,2025-02-20 23:28:00,2025-02-20 23:28:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,183.0,0.0,100-200,晚上(18-24)
67,151.0,151.0,北京市,2025-02-20 23:28:00,2025-02-20 23:28:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,151.0,0.0,100-200,晚上(18-24)
68,64.0,0.0,重庆市,2025-02-20 23:28:00,2025-02-21 15:19:00,0.0,2025-02-20,23.0,3.0,0,2.0,15.85,0,0,0.0,0.0,50-100,晚上(18-24)
69,119.0,0.0,黑龙江省,2025-02-20 23:28:00,2025-02-20 23:28:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,100-200,晚上(18-24)
70,270.0,270.0,广东省,2025-02-20 23:27:00,2025-02-20 23:27:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,270.0,0.0,200-500,晚上(18-24)
71,53.0,53.0,甘肃省,2025-02-20 23:27:00,2025-02-20 23:27:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,53.0,0.0,50-100,晚上(18-24)
72,101.0,0.0,广东省,2025-02-20 23:27:00,2025-02-20 23:27:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,100-200,晚上(18-24)
73,53.0,53.0,浙江省,2025-02-20 23:26:00,2025-02-20 23:26:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,53.0,0.0,50-100,晚上(18-24)
74,69.0,69.0,重庆市,2025-02-20 23:26:00,2025-02-20 23:26:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,69.0,0.0,50-100,晚上(18-24)
75,119.0,0.0,浙江省,2025-02-20 23:25:00,2025-02-20 23:26:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,0,0,0.0,0.0,100-200,晚上(18-24)
76,389.0,389.0,四川省,2025-02-20 23:25:00,2025-02-20 23:25:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,389.0,0.0,200-500,晚上(18-24)
77,119.0,119.0,北京市,2025-02-20 23:24:00,2025-02-20 23:24:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,119.0,0.0,100-200,晚上(18-24)
78,641.7,641.7,上海市,2025-02-20 23:23:00,2025-02-20 23:24:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,1,0,641.7,0.0,500-1000,晚上(18-24)
79,102.0,32.0,天津市,2025-02-20 23:23:00,2025-02-20 23:23:00,32.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,1,0.0,1.0,100-200,晚上(18-24)
80,37.0,0.0,广东省,2025-02-20 23:23:00,,0.0,2025-02-20,23.0,3.0,0,2.0,-1.0,0,0,0.0,0.0,0-50,晚上(18-24)
81,178.8,178.8,四川省,2025-02-20 23:23:00,2025-02-20 23:25:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.03333333333333333,1,0,178.8,0.0,100-200,晚上(18-24)
82,178.8,0.0,天津市,2025-02-20 23:22:00,2025-02-20 23:22:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,100-200,晚上(18-24)
83,119.0,119.0,北京市,2025-02-20 23:22:00,2025-02-20 23:22:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,119.0,0.0,100-200,晚上(18-24)
84,37.0,37.0,北京市,2025-02-20 23:22:00,2025-02-20 23:22:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,37.0,0.0,0-50,晚上(18-24)
85,37.0,0.0,天津市,2025-02-20 23:22:00,2025-02-20 23:48:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.43333333333333335,0,0,0.0,0.0,0-50,晚上(18-24)
86,183.0,183.0,江西省,2025-02-20 23:22:00,2025-02-20 23:22:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,183.0,0.0,100-200,晚上(18-24)
87,227.0,227.0,吉林省,2025-02-20 23:22:00,2025-02-20 23:22:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,227.0,0.0,200-500,晚上(18-24)
88,119.0,119.0,北京市,2025-02-20 23:22:00,2025-02-20 23:22:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,119.0,0.0,100-200,晚上(18-24)
89,540.6,540.6,广东省,2025-02-20 23:21:00,2025-02-20 23:21:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,540.6,0.0,500-1000,晚上(18-24)
90,183.0,183.0,江苏省,2025-02-20 23:20:00,2025-02-20 23:20:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,183.0,0.0,100-200,晚上(18-24)
91,274.8,274.8,山西省,2025-02-20 23:20:00,2025-02-20 23:20:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,274.8,0.0,200-500,晚上(18-24)
92,96.8,0.0,吉林省,2025-02-20 23:19:00,2025-02-20 23:19:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,50-100,晚上(18-24)
93,34.9,0.0,广东省,2025-02-20 23:19:00,,0.0,2025-02-20,23.0,3.0,0,2.0,-1.0,0,0,0.0,0.0,0-50,晚上(18-24)
94,64.8,64.8,贵州省,2025-02-20 23:19:00,2025-02-20 23:19:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,64.8,0.0,50-100,晚上(18-24)
95,69.0,69.0,北京市,2025-02-20 23:18:00,2025-02-20 23:19:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,1,0,69.0,0.0,50-100,晚上(18-24)
96,37.0,0.0,北京市,2025-02-20 23:18:00,2025-02-20 23:19:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,0,0,0.0,0.0,0-50,晚上(18-24)
97,215.0,215.0,江苏省,2025-02-20 23:18:00,2025-02-20 23:18:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,215.0,0.0,200-500,晚上(18-24)
98,69.0,69.0,河北省,2025-02-20 23:18:00,2025-02-20 23:18:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,69.0,0.0,50-100,晚上(18-24)
99,53.0,53.0,江苏省,2025-02-20 23:18:00,2025-02-20 23:18:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,53.0,0.0,50-100,晚上(18-24)
100,37.0,0.0,北京市,2025-02-20 23:18:00,2025-02-20 23:18:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,0-50,晚上(18-24)
101,165.5,165.5,四川省,2025-02-20 23:17:00,2025-02-20 23:17:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,165.5,0.0,100-200,晚上(18-24)
102,69.0,69.0,北京市,2025-02-20 23:16:00,2025-02-20 23:16:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,69.0,0.0,50-100,晚上(18-24)
103,69.0,69.0,辽宁省,2025-02-20 23:16:00,2025-02-20 23:16:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,69.0,0.0,50-100,晚上(18-24)
104,195.0,195.0,福建省,2025-02-20 23:16:00,2025-02-20 23:16:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,195.0,0.0,100-200,晚上(18-24)
105,85.0,85.0,江苏省,2025-02-20 23:15:00,2025-02-20 23:15:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,85.0,0.0,50-100,晚上(18-24)
106,119.0,119.0,北京市,2025-02-20 23:15:00,2025-02-20 23:15:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,119.0,0.0,100-200,晚上(18-24)
107,102.0,0.0,天津市,2025-02-20 23:15:00,2025-02-20 23:15:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,100-200,晚上(18-24)
108,128.0,0.0,吉林省,2025-02-20 23:14:00,,0.0,2025-02-20,23.0,3.0,0,2.0,-1.0,0,0,0.0,0.0,100-200,晚上(18-24)
109,50.9,50.9,江苏省,2025-02-20 23:14:00,2025-02-20 23:15:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,1,0,50.9,0.0,50-100,晚上(18-24)
110,119.0,0.0,江苏省,2025-02-20 23:14:00,2025-02-20 23:14:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,100-200,晚上(18-24)
111,66.9,66.9,河南省,2025-02-20 23:13:00,2025-02-20 23:13:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,66.9,0.0,50-100,晚上(18-24)
112,238.0,238.0,天津市,2025-02-20 23:13:00,2025-02-20 23:13:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,238.0,0.0,200-500,晚上(18-24)
113,119.0,119.0,广东省,2025-02-20 23:13:00,2025-02-20 23:13:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,119.0,0.0,100-200,晚上(18-24)
114,37.0,37.0,四川省,2025-02-20 23:12:00,2025-02-20 23:12:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,37.0,0.0,0-50,晚上(18-24)
115,64.8,64.8,山东省,2025-02-20 23:11:00,2025-02-20 23:11:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,64.8,0.0,50-100,晚上(18-24)
116,37.0,0.0,浙江省,2025-02-20 23:10:00,2025-02-20 23:10:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,0-50,晚上(18-24)
117,37.0,0.0,上海市,2025-02-20 23:09:00,2025-02-20 23:09:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,0-50,晚上(18-24)
118,119.0,0.0,黑龙江省,2025-02-20 23:09:00,,0.0,2025-02-20,23.0,3.0,0,2.0,-1.0,0,0,0.0,0.0,100-200,晚上(18-24)
119,299.9,299.9,广东省,2025-02-20 23:08:00,2025-02-20 23:08:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,299.9,0.0,200-500,晚上(18-24)
120,64.8,64.8,福建省,2025-02-20 23:07:00,2025-02-20 23:07:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,64.8,0.0,50-100,晚上(18-24)
121,135.0,135.0,浙江省,2025-02-20 23:07:00,2025-02-20 23:07:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,135.0,0.0,100-200,晚上(18-24)
122,34.9,0.0,山东省,2025-02-20 23:07:00,2025-02-20 23:07:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,0-50,晚上(18-24)
123,238.0,238.0,上海市,2025-02-20 23:07:00,2025-02-20 23:07:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,238.0,0.0,200-500,晚上(18-24)
124,34.9,34.9,云南省,2025-02-20 23:06:00,2025-02-20 23:06:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,34.9,0.0,0-50,晚上(18-24)
125,128.0,128.0,广东省,2025-02-20 23:06:00,2025-02-21 00:12:00,0.0,2025-02-20,23.0,3.0,0,2.0,1.1,1,0,128.0,0.0,100-200,晚上(18-24)
126,69.0,69.0,北京市,2025-02-20 23:05:00,2025-02-20 23:05:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,69.0,0.0,50-100,晚上(18-24)
127,37.0,37.0,天津市,2025-02-20 23:04:00,2025-02-20 23:04:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,37.0,0.0,0-50,晚上(18-24)
128,37.0,37.0,四川省,2025-02-20 23:04:00,2025-02-20 23:04:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,37.0,0.0,0-50,晚上(18-24)
129,37.0,37.0,山东省,2025-02-20 23:03:00,2025-02-20 23:04:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.016666666666666666,1,0,37.0,0.0,0-50,晚上(18-24)
130,21.0,21.0,云南省,2025-02-20 23:03:00,2025-02-20 23:06:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.05,1,0,21.0,0.0,0-50,晚上(18-24)
131,267.9,0.0,天津市,2025-02-20 23:02:00,2025-02-20 23:02:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,200-500,晚上(18-24)
132,119.0,119.0,陕西省,2025-02-20 23:00:00,2025-02-20 23:00:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,1,0,119.0,0.0,100-200,晚上(18-24)
133,183.0,0.0,北京市,2025-02-20 23:00:00,2025-02-20 23:00:00,0.0,2025-02-20,23.0,3.0,0,2.0,0.0,0,0,0.0,0.0,100-200,晚上(18-24)
134,148.9,148.9,天津市,2025-02-20 22:59:00,2025-02-20 22:59:00,0.0,2025-02-20,22.0,3.0,0,2.0,0.0,1,0,148.9,0.0,100-200,晚上(18-24)
135,119.0,119.0,四川省,2025-02-20 22:59:00,2025-02-20 22:59:00,0.0,2025-02-20,22.0,3.0,0,2.0,0.0,1,0,119.0,0.0,100-200,晚上(18-24)
136,34.9,34.9,安徽省,2025-02-20 22:58:00,2025-02-20 22:59:00,0.0,2025-02-20,22.0,3.0,0,2.0,0.016666666666666666,1,0,34.9,0.0,0-50,晚上(18-24)
137,302.0,302.0,浙江省,2025-02-20 22:58:00,2025-02-20 22:58:00,0.0,2025-02-20,22.0,3.0,0,2.0,0.0,1,0,302.0,0.0,200-500,晚上(18-24)
138,160.0,160.0,江苏省,2025-02-20 22:57:00,2025-02-20 22:57:00,0.0,2025-02-20,22.0,3.0,0,2.0,0.0,1,0,160.0,0.0,100-200,晚上(18-24)
139,148.9,148.9,江苏省,2025-02-20 22:56:00,2025-02-20 22:57:00,0.0,2025-02-20,22.0,3.0,0,2.0,0.016666666666666666,1,0,148.9,0.0,100-200,晚上(18-24)
140,119.0,0.0,上海市,2025-02-20 22:55:00,,0.0,2025-02-20,22.0,3.0,0,2.0,-1.0,0,0,0.0,0.0,100-200,晚上(18-24)
141,64.8,64.8,天津市,2025-02-20 22:55:00,2025-02-20 22:57:00,0.0,2025-02-20,22.0,3.0,0,2.0,0.03333333333333333,1,0,64.8,0.0,50-100,晚上(18-24)
142,183.0,0.0,北京市,2025-02-20 22:54:00,2025-02-20 22:54:00,0.0,2025-02-20,22.0,3.0,0,2.0,0.0,0,0,0.0,0.0,100-200,晚上(18-24)
143,21.0,0.0,江苏省,2025-02-20 22:54:00,2025-02-20 22:54:00,0.0,2025-02-20,22.0,3.0,0,2.0,0.0,0,0,0.0,0.0,0-50,晚上(18-24)
144,37.0,0.0,江苏省,2025-02-20 22:54:00,,0.0,2025-02-20,22.0,3.0,0,2.0,-1.0,0,0,0.0,0.0,0-50,晚上(18-24)
145,66.9,66.9,上海市,2025-02-20 22:53:00,2025-02-20 22:54:00,0.0,2025-02-20,22.0,3.0,0,2.0,0.016666666666666666,1,0,66.9,0.0,50-100,晚上(18-24)
146,119.0,119.0,湖南省,2025-02-20 22:51:00,2025-02-20 22:51:00,0.0,2025-02-20,22.0,3.0,0,2.0,0.0,1,0,119.0,0.0,100-200,晚上(18-24)
