订单编码,订单日期,客户编码,所在区域,所在省份,所在地市,商品编号,订购数量,订购单价,金额,商品名称,商品小类,商品大类,销售单价,订单年份,订单月份,订单季度,订单星期,是否周末,单价差异,折扣率,区域编码,订单总金额
D25615,2025-04-17,S17375,西区,云南省,昆明市,X069,964,251.0,241964.0,商品69,防晒霜,护肤品,251.0,2025,4,2,3,0,0.0,1.0,4.0,644784.0
D27760,2025-07-20,S10902,北区,吉林省,延边朝鲜族自治州,X067,808,212.0,171296.0,商品67,隔离霜,护肤品,212.0,2025,7,3,6,1,0.0,1.0,1.0,746738.0
D27745,2025-06-11,S14880,西区,新疆维吾尔自治区,巴音郭楞州,X065,1445,140.0,202300.0,商品65,隔离霜,护肤品,140.0,2025,6,2,2,0,0.0,1.0,4.0,375424.0
D31850,2025-09-10,S15439,南区,福建省,三明市,X061,453,203.0,91959.0,商品61,隔离霜,护肤品,203.0,2025,9,3,2,0,0.0,1.0,2.0,150755.0
D24042,2025-02-18,S20547,北区,山西省,运城市,X054,662,83.0,54946.0,商品54,爽肤水,护肤品,83.0,2025,2,1,1,0,0.0,1.0,1.0,1199407.0
D28738,2025-05-28,S15863,北区,辽宁省,大连市,X049,1136,226.0,256736.0,商品49,爽肤水,护肤品,226.0,2025,5,2,2,0,0.0,1.0,1.0,971940.0
D22470,2025-04-13,S23019,东区,浙江省,宁波市,X052,1644,102.0,167688.0,商品52,爽肤水,护肤品,102.0,2025,4,2,6,1,0.0,1.0,3.0,1643710.0
D25393,2025-05-09,S20504,南区,广东省,中山市,X050,1634,143.0,233662.0,商品50,爽肤水,护肤品,143.0,2025,5,2,4,0,0.0,1.0,2.0,703389.0
D23629,2025-02-26,S11423,东区,江苏省,苏州市,X066,1775,113.0,200575.0,商品66,隔离霜,护肤品,113.0,2025,2,1,2,0,0.0,1.0,3.0,349935.0
D34014,2025-08-09,S13298,东区,安徽省,安庆市,X079,1373,128.0,175744.0,商品79,口红,彩妆,128.0,2025,8,3,5,1,0.0,1.0,3.0,175744.0
D26537,2025-02-07,S16284,南区,江西省,南昌市,X050,1501,143.0,214643.0,商品50,爽肤水,护肤品,143.0,2025,2,1,4,0,0.0,1.0,2.0,1105395.0
D28217,2025-04-07,S13115,南区,广东省,东莞市,X062,1094,239.0,261466.0,商品62,隔离霜,护肤品,239.0,2025,4,2,0,0,0.0,1.0,2.0,351754.0
D27643,2025-04-12,S13589,西区,重庆市,重庆市,X001,910,121.0,110110.0,商品1,面膜,护肤品,121.0,2025,4,2,5,1,0.0,1.0,4.0,615738.0
D32392,2025-05-09,S22702,西区,重庆市,重庆市,X040,1276,142.0,181192.0,商品40,面霜,护肤品,142.0,2025,5,2,4,0,0.0,1.0,4.0,464609.0
D28330,2025-09-26,S12118,北区,辽宁省,本溪市,X095,972,107.0,104004.0,商品95,眼影,彩妆,107.0,2025,9,3,4,0,0.0,1.0,1.0,1020850.0
D30966,2025-09-26,S21278,西区,陕西省,西安市,X044,1679,174.0,292146.0,商品44,洁面乳,护肤品,174.0,2025,9,3,4,0,0.0,1.0,4.0,484612.0
D30039,2025-09-15,S13281,南区,湖南省,长沙市,X059,1783,56.0,99848.0,商品59,隔离霜,护肤品,56.0,2025,9,3,0,0,0.0,1.0,2.0,574313.0
D27063,2025-08-10,S16649,南区,江西省,南昌市,X031,1410,86.0,121260.0,商品31,面霜,护肤品,86.0,2025,8,3,6,1,0.0,1.0,2.0,472902.0
D25809,2025-07-14,S13102,西区,云南省,丽江市,X056,258,233.0,60114.0,商品56,爽肤水,护肤品,233.0,2025,7,3,0,0,0.0,1.0,4.0,532946.0
D21437,2025-02-04,S16915,北区,河北省,廊坊市,X031,438,86.0,37668.0,商品31,面霜,护肤品,86.0,2025,2,1,1,0,0.0,1.0,1.0,259239.0
D26641,2025-06-19,S15155,西区,贵州省,黔南州,X040,885,142.0,125670.0,商品40,面霜,护肤品,142.0,2025,6,2,3,0,0.0,1.0,4.0,849242.0
D28450,2025-07-30,S14892,西区,四川省,广安市,X055,99,222.0,21978.0,商品55,爽肤水,护肤品,222.0,2025,7,3,2,0,0.0,1.0,4.0,661118.0
D30110,2025-02-23,S20792,东区,安徽省,蚌埠市,X027,924,164.0,151536.0,商品27,面霜,护肤品,164.0,2025,2,1,6,1,0.0,1.0,3.0,272304.0
D23734,2025-04-28,S21250,北区,北京市,北京市,X023,1195,235.0,280825.0,商品23,眼霜,护肤品,235.0,2025,4,2,0,0,0.0,1.0,1.0,452487.0
D28368,2025-07-14,S18364,北区,辽宁省,沈阳市,X041,998,212.0,211576.0,商品41,洁面乳,护肤品,212.0,2025,7,3,0,0,0.0,1.0,1.0,1075863.0
D24406,2025-04-30,S14953,东区,江苏省,南京市,X002,1453,141.0,204873.0,商品2,面膜,护肤品,141.0,2025,4,2,2,0,0.0,1.0,3.0,335330.0
D24491,2025-04-06,S10141,东区,江苏省,苏州市,X051,522,203.0,105966.0,商品51,爽肤水,护肤品,203.0,2025,4,2,6,1,0.0,1.0,3.0,695399.0
D22243,2025-05-15,S17864,东区,浙江省,温州市,X076,1322,115.0,152030.0,商品76,防晒霜,护肤品,115.0,2025,5,2,3,0,0.0,1.0,3.0,1441428.0
D25680,2025-04-17,S10966,南区,湖南省,长沙市,X061,482,203.0,97846.0,商品61,隔离霜,护肤品,203.0,2025,4,2,3,0,0.0,1.0,2.0,254371.0
D21419,2025-02-11,S19139,北区,河南省,驻马店市,X085,1267,233.0,295211.0,商品85,口红,彩妆,233.0,2025,2,1,1,0,0.0,1.0,1.0,803338.0
D28873,2025-07-26,S14689,东区,江苏省,无锡市,X056,334,233.0,77822.0,商品56,爽肤水,护肤品,233.0,2025,7,3,5,1,0.0,1.0,3.0,123182.0
D22272,2025-06-01,S13578,东区,上海市,上海市,X042,1223,159.0,194457.0,商品42,洁面乳,护肤品,159.0,2025,6,2,6,1,0.0,1.0,3.0,306001.0
D23947,2025-05-24,S12869,北区,河北省,唐山市,X010,790,58.0,45820.0,商品10,面膜,护肤品,58.0,2025,5,2,5,1,0.0,1.0,1.0,57664.0
D21932,2025-01-07,S19657,北区,河北省,邯郸市,X069,1578,251.0,396078.0,商品69,防晒霜,护肤品,251.0,2025,1,1,1,0,0.0,1.0,1.0,918571.0
D21637,2025-08-17,S20853,东区,江苏省,泰州市,X026,841,101.0,84941.0,商品26,面霜,护肤品,101.0,2025,8,3,6,1,0.0,1.0,3.0,459630.0
D25941,2025-06-28,S19738,东区,江苏省,徐州市,X002,934,141.0,131694.0,商品2,面膜,护肤品,141.0,2025,6,2,5,1,0.0,1.0,3.0,340466.0
D25675,2025-09-06,S21747,南区,广东省,深圳市,X064,246,150.0,36900.0,商品64,隔离霜,护肤品,150.0,2025,9,3,5,1,0.0,1.0,2.0,1049616.0
D22040,2025-07-09,S18131,东区,浙江省,绍兴市,X008,573,119.0,68187.0,商品8,面膜,护肤品,119.0,2025,7,3,2,0,0.0,1.0,3.0,815093.0
D32352,2025-06-17,S13200,南区,广西壮族自治区,南宁市,X066,2007,113.0,226791.0,商品66,隔离霜,护肤品,113.0,2025,6,2,1,0,0.0,1.0,2.0,302646.0
D21552,2025-07-22,S19493,南区,广西壮族自治区,南宁市,X051,1261,203.0,255983.0,商品51,爽肤水,护肤品,203.0,2025,7,3,1,0,0.0,1.0,2.0,1269542.0
D31753,2025-04-17,S15105,东区,江苏省,泰州市,X020,1830,100.0,183000.0,商品20,眼霜,护肤品,100.0,2025,4,2,3,0,0.0,1.0,3.0,250680.0
D27872,2025-04-21,S12871,东区,安徽省,安庆市,X020,1249,100.0,124900.0,商品20,眼霜,护肤品,100.0,2025,4,2,0,0,0.0,1.0,3.0,1334361.0
D23567,2025-07-20,S10983,东区,江苏省,南京市,X104,972,185.0,179820.0,商品104,睫毛膏,彩妆,185.0,2025,7,3,6,1,0.0,1.0,3.0,1258938.0
D26264,2025-05-30,S22502,南区,福建省,三明市,X095,822,107.0,87954.0,商品95,眼影,彩妆,107.0,2025,5,2,4,0,0.0,1.0,2.0,431433.0
D28337,2025-07-22,S22631,东区,江苏省,淮安市,X024,1242,235.0,291870.0,商品24,眼霜,护肤品,235.0,2025,7,3,1,0,0.0,1.0,3.0,1044995.0
D28986,2025-06-27,S12719,南区,广东省,广州市,X003,228,168.0,38304.0,商品3,面膜,护肤品,168.0,2025,6,2,4,0,0.0,1.0,2.0,807998.0
D23846,2025-05-19,S12453,南区,广东省,广州市,X039,49,108.0,5292.0,商品39,面霜,护肤品,108.0,2025,5,2,0,0,0.0,1.0,2.0,304117.0
D24228,2025-04-15,S21595,西区,四川省,自贡市,X008,312,119.0,37128.0,商品8,面膜,护肤品,119.0,2025,4,2,1,0,0.0,1.0,4.0,144294.0
D22792,2025-06-11,S20675,南区,湖南省,永州市,X072,1405,62.0,87110.0,商品72,防晒霜,护肤品,62.0,2025,6,2,2,0,0.0,1.0,2.0,1126381.0
D26017,2025-06-25,S14106,东区,江苏省,常州市,X072,943,62.0,58466.0,商品72,防晒霜,护肤品,62.0,2025,6,2,2,0,0.0,1.0,3.0,540015.0
D30895,2025-02-05,S15092,东区,江苏省,扬州市,X069,592,251.0,148592.0,商品69,防晒霜,护肤品,251.0,2025,2,1,2,0,0.0,1.0,3.0,721125.0
D21879,2025-07-05,S22973,北区,山东省,威海市,X046,1435,241.0,345835.0,商品46,洁面乳,护肤品,241.0,2025,7,3,5,1,0.0,1.0,1.0,789217.0
D23381,2025-09-22,S17133,东区,江苏省,宿迁市,X091,1136,214.0,243104.0,商品91,粉底,彩妆,214.0,2025,9,3,0,0,0.0,1.0,3.0,1011727.0
D27771,2025-05-28,S20581,南区,广东省,肇庆市,X044,971,174.0,168954.0,商品44,洁面乳,护肤品,174.0,2025,5,2,2,0,0.0,1.0,2.0,1094898.0
D32063,2025-09-01,S21939,北区,山东省,淄博市,X021,136,59.0,8024.0,商品21,眼霜,护肤品,59.0,2025,9,3,0,0,0.0,1.0,1.0,8024.0
D28610,2025-06-04,S20442,南区,广东省,江门市,X069,804,251.0,201804.0,商品69,防晒霜,护肤品,251.0,2025,6,2,2,0,0.0,1.0,2.0,506302.0
D30579,2025-04-25,S21325,西区,云南省,昆明市,X054,1412,83.0,117196.0,商品54,爽肤水,护肤品,83.0,2025,4,2,4,0,0.0,1.0,4.0,694293.0
D22939,2025-01-16,S19759,西区,贵州省,黔东南州,X059,1872,56.0,104832.0,商品59,隔离霜,护肤品,56.0,2025,1,1,3,0,0.0,1.0,4.0,1363697.0
D32879,2025-05-31,S16573,西区,陕西省,宝鸡市,X046,938,241.0,226058.0,商品46,洁面乳,护肤品,241.0,2025,5,2,5,1,0.0,1.0,4.0,634251.0
D22909,2025-05-17,S15908,西区,四川省,自贡市,X017,569,213.0,121197.0,商品17,眼霜,护肤品,213.0,2025,5,2,5,1,0.0,1.0,4.0,259138.0
D33099,2025-07-24,S10419,南区,广东省,佛山市,X010,202,58.0,11716.0,商品10,面膜,护肤品,58.0,2025,7,3,3,0,0.0,1.0,2.0,623982.0
D30784,2025-06-17,S14854,东区,浙江省,嘉兴市,X044,1373,174.0,238902.0,商品44,洁面乳,护肤品,174.0,2025,6,2,1,0,0.0,1.0,3.0,748114.0
D30544,2025-09-30,S15535,东区,江苏省,南京市,X075,883,126.0,111258.0,商品75,防晒霜,护肤品,126.0,2025,9,3,1,0,0.0,1.0,3.0,694161.0
D21875,2025-07-14,S19718,西区,陕西省,咸阳市,X054,766,83.0,63578.0,商品54,爽肤水,护肤品,83.0,2025,7,3,0,0,0.0,1.0,4.0,440678.0
D23603,2025-08-23,S10223,西区,四川省,攀枝花市,X079,1339,128.0,171392.0,商品79,口红,彩妆,128.0,2025,8,3,5,1,0.0,1.0,4.0,475476.0
D27945,2025-09-12,S21696,西区,四川省,成都市,X051,606,203.0,123018.0,商品51,爽肤水,护肤品,203.0,2025,9,3,4,0,0.0,1.0,4.0,453214.0
D26835,2025-04-07,S17325,西区,四川省,德阳市,X026,683,101.0,68983.0,商品26,面霜,护肤品,101.0,2025,4,2,0,0,0.0,1.0,4.0,314016.0
D27003,2025-04-06,S22693,西区,四川省,德阳市,X017,1041,213.0,221733.0,商品17,眼霜,护肤品,213.0,2025,4,2,6,1,0.0,1.0,4.0,739115.0
D22033,2025-02-27,S14783,东区,江苏省,苏州市,X095,658,107.0,70406.0,商品95,眼影,彩妆,107.0,2025,2,1,3,0,0.0,1.0,3.0,824678.0
D27489,2025-04-22,S12270,东区,江苏省,淮安市,X089,245,104.0,25480.0,商品89,粉底,彩妆,104.0,2025,4,2,1,0,0.0,1.0,3.0,671054.0
D25434,2025-01-11,S16184,南区,广西壮族自治区,北海市,X068,664,225.0,149400.0,商品68,防晒霜,护肤品,225.0,2025,1,1,5,1,0.0,1.0,2.0,448360.0
D25521,2025-08-31,S15116,南区,广东省,清远市,X024,754,235.0,177190.0,商品24,眼霜,护肤品,235.0,2025,8,3,6,1,0.0,1.0,2.0,418507.0
D24308,2025-09-22,S10283,西区,云南省,昆明市,X042,694,159.0,110346.0,商品42,洁面乳,护肤品,159.0,2025,9,3,0,0,0.0,1.0,4.0,516926.0
D31674,2025-07-24,S17439,南区,江西省,南昌市,X015,1221,151.0,184371.0,商品15,面膜,护肤品,151.0,2025,7,3,3,0,0.0,1.0,2.0,673599.0
D27620,2025-04-16,S23249,北区,山东省,烟台市,X047,778,192.0,149376.0,商品47,爽肤水,护肤品,192.0,2025,4,2,2,0,0.0,1.0,1.0,1030674.0
D25312,2025-08-23,S20391,东区,上海市,上海市,X050,254,143.0,36322.0,商品50,爽肤水,护肤品,143.0,2025,8,3,5,1,0.0,1.0,3.0,394051.0
D24868,2025-02-26,S12572,南区,广东省,深圳市,X004,1485,211.0,313335.0,商品4,面膜,护肤品,211.0,2025,2,1,2,0,0.0,1.0,2.0,1218517.0
D28082,2025-07-01,S10594,东区,浙江省,杭州市,X054,1689,83.0,140187.0,商品54,爽肤水,护肤品,83.0,2025,7,3,1,0,0.0,1.0,3.0,459031.0
D30144,2025-07-27,S19916,北区,辽宁省,盘锦市,X077,153,247.0,37791.0,商品77,口红,彩妆,247.0,2025,7,3,6,1,0.0,1.0,1.0,480140.0
D24212,2025-06-19,S15014,西区,重庆市,重庆市,X042,389,159.0,61851.0,商品42,洁面乳,护肤品,159.0,2025,6,2,3,0,0.0,1.0,4.0,427377.0
D23002,2025-05-12,S12746,东区,浙江省,金华市,X047,496,192.0,95232.0,商品47,爽肤水,护肤品,192.0,2025,5,2,0,0,0.0,1.0,3.0,1337694.0
D28946,2025-09-25,S20083,东区,安徽省,宿州市,X037,107,195.0,20865.0,商品37,面霜,护肤品,195.0,2025,9,3,3,0,0.0,1.0,3.0,999464.0
D25511,2025-01-22,S22146,北区,河北省,沧州市,X044,938,174.0,163212.0,商品44,洁面乳,护肤品,174.0,2025,1,1,2,0,0.0,1.0,1.0,775464.0
D30534,2025-06-29,S11874,南区,广东省,深圳市,X079,896,128.0,114688.0,商品79,口红,彩妆,128.0,2025,6,2,6,1,0.0,1.0,2.0,516463.0
D25170,2025-05-24,S14649,南区,广东省,广州市,X048,692,61.0,42212.0,商品48,爽肤水,护肤品,61.0,2025,5,2,5,1,0.0,1.0,2.0,839554.0
D21574,2025-04-08,S17095,东区,江苏省,南通市,X011,888,226.0,200688.0,商品11,面膜,护肤品,226.0,2025,4,2,1,0,0.0,1.0,3.0,610328.0
D23347,2025-01-25,S19409,南区,广东省,广州市,X028,1258,140.0,176120.0,商品28,面霜,护肤品,140.0,2025,1,1,5,1,0.0,1.0,2.0,381006.0
D27146,2025-05-27,S20992,西 区,陕西省,渭南市,X016,1604,99.0,158796.0,商品16,面膜,护肤品,99.0,2025,5,2,1,0,0.0,1.0,0.0,823239.0
D33752,2025-09-25,S16489,北区,河南省,三门峡市,X006,338,159.0,53742.0,商品6,面膜,护肤品,159.0,2025,9,3,3,0,0.0,1.0,1.0,53742.0
D25258,2025-05-19,S10596,北区,北京市,北京市,X015,678,151.0,102378.0,商品15,面膜,护肤品,151.0,2025,5,2,0,0,0.0,1.0,1.0,1267003.0
D21954,2025-08-11,S14207,西 区,四川省,南充市,X024,137,235.0,32195.0,商品24,眼霜,护肤品,235.0,2025,8,3,0,0,0.0,1.0,0.0,467396.0
D31539,2025-08-06,S10594,东区,浙江省,杭州市,X106,613,224.0,137312.0,商品106,睫毛膏,彩妆,224.0,2025,8,3,2,0,0.0,1.0,3.0,530885.0
D23735,2025-01-03,S20497,南区,福建省,泉州市,X045,1140,205.0,233700.0,商品45,洁面乳,护肤品,205.0,2025,1,1,4,0,0.0,1.0,2.0,881031.0
D24592,2025-07-03,S14630,东区,江苏省,无锡市,X027,1146,164.0,187944.0,商品27,面霜,护肤品,164.0,2025,7,3,3,0,0.0,1.0,3.0,473307.0
D21310,2025-01-25,S13238,南区,广西壮族自治区,百色市,X072,448,62.0,27776.0,商品72,防晒霜,护肤品,62.0,2025,1,1,5,1,0.0,1.0,2.0,150168.0
D21637,2025-08-17,S20853,东区,江苏省,泰州市,X088,859,125.0,107375.0,商品88,粉底,彩妆,125.0,2025,8,3,6,1,0.0,1.0,3.0,459630.0
D21613,2025-09-07,S11955,西 区,四川省,自贡市,X008,1031,119.0,122689.0,商品8,面膜,护肤品,119.0,2025,9,3,6,1,0.0,1.0,0.0,1377480.0
D30544,2025-09-30,S15535,东区,江苏省,南京市,X089,362,104.0,37648.0,商品89,粉底,彩妆,104.0,2025,9,3,1,0,0.0,1.0,3.0,694161.0
D24170,2025-08-12,S18696,北区,北京市,北京市,X018,1868,212.0,396016.0,商品18,眼霜,护肤品,212.0,2025,8,3,1,0,0.0,1.0,1.0,1434389.0
D23112,2025-07-18,S21325,西 区,云南省,昆明市,X103,925,202.0,186850.0,商品103,睫毛膏,彩妆,202.0,2025,7,3,4,0,0.0,1.0,0.0,1459873.0
D30123,2025-06-21,S16130,东区,江苏省,南通市,X035,996,76.0,75696.0,商品35,面霜,护肤品,76.0,2025,6,2,5,1,0.0,1.0,3.0,723024.0
D30127,2025-04-04,S22050,南区,广东省,深圳市,X003,1220,168.0,204960.0,商品3,面膜,护肤品,168.0,2025,4,2,4,0,0.0,1.0,2.0,685500.0
D32162,2025-09-12,S22173,北区,河北省,廊坊市,X071,1931,253.0,488543.0,商品71,防晒霜,护肤品,253.0,2025,9,3,4,0,0.0,1.0,1.0,752924.0
D27459,2025-09-23,S18189,东区,浙江省,嘉兴市,X069,463,251.0,116213.0,商品69,防晒霜,护肤品,251.0,2025,9,3,1,0,0.0,1.0,3.0,917513.0
D24142,2025-05-04,S14213,南区,广东省,广州市,X038,728,102.0,74256.0,商品38,面霜,护肤品,102.0,2025,5,2,6,1,0.0,1.0,2.0,585154.0
D27736,2025-08-05,S22618,南区,广东省,江门市,X072,1576,62.0,97712.0,商品72,防晒霜,护肤品,62.0,2025,8,3,1,0,0.0,1.0,2.0,905105.0
D30967,2025-09-03,S11411,东区,江苏省,苏州市,X005,357,185.0,66045.0,商品5,面膜,护肤品,185.0,2025,9,3,2,0,0.0,1.0,3.0,1277029.0
D28629,2025-04-12,S19375,东区,江苏省,苏州市,X071,959,253.0,242627.0,商品71,防晒霜,护肤品,253.0,2025,4,2,5,1,0.0,1.0,3.0,259101.0
D31608,2025-01-31,S17389,北区,辽宁省,沈阳市,X053,2000,104.0,208000.0,商品53,爽肤水,护肤品,104.0,2025,1,1,4,0,0.0,1.0,1.0,370324.0
D25362,2025-06-25,S11671,北区,吉林省,长春市,X072,1414,62.0,87668.0,商品72,防晒霜,护肤品,62.0,2025,6,2,2,0,0.0,1.0,1.0,802770.0
D24584,2025-04-01,S19512,北区,北京市,北京市,X072,1122,62.0,69564.0,商品72,防晒霜,护肤品,62.0,2025,4,2,1,0,0.0,1.0,1.0,553851.0
D25426,2025-06-14,S22578,东区,江苏省,苏州市,X060,1124,102.0,114648.0,商品60,隔离霜,护肤品,102.0,2025,6,2,5,1,0.0,1.0,3.0,653654.0
D24189,2025-05-05,S15283,东区,浙江省,绍兴市,X067,835,212.0,177020.0,商品67,隔离霜,护肤品,212.0,2025,5,2,0,0,0.0,1.0,3.0,510364.0
D32487,2025-06-20,S22123,西 区,四川省,广元市,X029,1141,154.0,175714.0,商品29,面霜,护肤品,154.0,2025,6,2,4,0,0.0,1.0,0.0,338890.0
D26115,2025-09-08,S15631,南区,江西省,南昌市,X041,138,212.0,29256.0,商品41,洁面乳,护肤品,212.0,2025,9,3,0,0,0.0,1.0,2.0,1217692.0
D27448,2025-01-11,S20261,西 区,陕西省,西安市,X010,455,58.0,26390.0,商品10,面膜,护肤品,58.0,2025,1,1,5,1,0.0,1.0,0.0,287224.0
D23086,2025-09-30,S22515,南区,福建省,泉州市,X014,503,86.0,43258.0,商品14,面膜,护肤品,86.0,2025,9,3,1,0,0.0,1.0,2.0,323536.0
D24686,2025-08-13,S13571,北区,天津市,天津市,X011,465,226.0,105090.0,商品11,面膜,护肤品,226.0,2025,8,3,2,0,0.0,1.0,1.0,820806.0
D21260,2025-02-25,S15317,南区,海南省,海南省直辖,X018,1032,212.0,218784.0,商品18,眼霜,护肤品,212.0,2025,2,1,1,0,0.0,1.0,2.0,574730.0
D21410,2025-05-08,S10710,西 区,陕西省,安康市,X045,1157,205.0,237185.0,商品45,洁面乳,护肤品,205.0,2025,5,2,3,0,0.0,1.0,0.0,870920.0
D33413,2025-01-08,S16940,东区,湖北省,武汉市,X041,359,212.0,76108.0,商品41,洁面乳,护肤品,212.0,2025,1,1,2,0,0.0,1.0,3.0,279311.0
D31390,2025-08-30,S20644,东区,江苏省,苏州市,X037,656,195.0,127920.0,商品37,面霜,护肤品,195.0,2025,8,3,5,1,0.0,1.0,3.0,319174.0
D31235,2025-04-10,S12804,北区,河北省,沧州市,X099,1192,108.0,128736.0,商品99,眼影,彩妆,108.0,2025,4,2,3,0,0.0,1.0,1.0,1314469.0
D22175,2025-01-05,S11685,西 区,云南省,临沧市,X019,1212,210.0,254520.0,商品19,眼霜,护肤品,210.0,2025,1,1,6,1,0.0,1.0,0.0,712105.0
D29167,2025-02-02,S18224,南区,广东省,深圳市,X014,688,86.0,59168.0,商品14,面膜,护肤品,86.0,2025,2,1,6,1,0.0,1.0,2.0,335122.0
D33401,2025-01-24,S21647,南区,广东省,湛江市,X048,554,61.0,33794.0,商品48,爽肤水,护肤品,61.0,2025,1,1,4,0,0.0,1.0,2.0,99938.0
D29153,2025-07-24,S10355,南区,江西省,赣州市,X027,950,164.0,155800.0,商品27,面霜,护肤品,164.0,2025,7,3,3,0,0.0,1.0,2.0,531958.0
D24669,2025-07-18,S20644,东区,江苏省,苏州市,X018,302,212.0,64024.0,商品18,眼霜,护肤品,212.0,2025,7,3,4,0,0.0,1.0,3.0,1316769.0
D22445,2025-01-28,S20083,东区,安徽省,宿州市,X022,1202,158.0,189916.0,商品22,眼霜,护肤品,158.0,2025,1,1,1,0,0.0,1.0,3.0,628957.0
D21688,2025-02-18,S10989,南区,福建省,泉州市,X023,645,235.0,151575.0,商品23,眼霜,护肤品,235.0,2025,2,1,1,0,0.0,1.0,2.0,312619.0
D22166,2025-06-23,S17092,南区,广东省,深圳市,X038,1321,102.0,134742.0,商品38,面霜,护肤品,102.0,2025,6,2,0,0,0.0,1.0,2.0,578656.0
D31885,2025-04-28,S18020,东区,江苏省,南京市,X037,775,195.0,151125.0,商品37,面霜,护肤品,195.0,2025,4,2,0,0,0.0,1.0,3.0,620505.0
D28050,2025-01-30,S19706,南区,广西壮族自治区,梧州市,X021,858,59.0,50622.0,商品21,眼霜,护肤品,59.0,2025,1,1,3,0,0.0,1.0,2.0,688742.0
D23442,2025-07-10,S14207,西 区,四川省,南充市,X019,595,210.0,124950.0,商品19,眼霜,护肤品,210.0,2025,7,3,3,0,0.0,1.0,0.0,364475.0
D28361,2025-06-27,S18696,北区,北京市,北京市,X041,1260,212.0,267120.0,商品41,洁面乳,护肤品,212.0,2025,6,2,4,0,0.0,1.0,1.0,630086.0
D24761,2025-06-04,S11024,西 区,四川省,成都市,X035,1725,76.0,131100.0,商品35,面霜,护肤品,76.0,2025,6,2,2,0,0.0,1.0,0.0,506207.0
