商品编号,商品名称,商品小类,商品大类,当前售价,当前库存量,历史总销量,是否套装
X083,商品83,口红,彩妆,208.0,24718,53075,0
X084,商品84,口红,彩妆,222.0,11127,29984,0
X085,商品85,口红,彩妆,233.0,19833,349375,0
X086,商品86,口红,彩妆,92.0,22990,53584,0
X087,商品87,口红,彩妆,86.0,24481,65408,0
X088,商品88,粉底,彩妆,125.0,157973,332724,0
X089,商品89,粉底,彩妆,104.0,22664,321620,0
X090,商品90,粉底,彩妆,197.0,2898,24697,0
X091,商品91,粉底,彩妆,214.0,7039,267471,0
X092,商品92,粉底,彩妆,67.0,963,54567,0
X093,商品93,粉底,彩妆,103.0,2116,8212,0
X094,商品94,粉底,彩妆,94.0,16915,64430,0
X095,商品95,眼影,彩妆,107.0,32402,55773,0
X096,商品96,眼影,彩妆,222.0,1624,31541,0
X097,商品97,眼影,彩妆,56.0,28996,65610,0
X098,商品98,眼影,彩妆,56.0,2826,37711,0
X099,商品99,眼影,彩妆,108.0,457,12618,0
X100,商品100,眼影,彩妆,80.0,32327,69532,0
X101,商品101,睫毛膏,彩妆,173.0,3383,68023,0
X102,商品102,睫毛膏,彩妆,160.0,5869,63751,0
X103,商品103,睫毛膏,彩妆,202.0,37530,70807,0
X104,商品104,睫毛膏,彩妆,185.0,12996,60305,0
X105,商品105,睫毛膏,彩妆,95.0,30053,43727,0
X106,商品106,睫毛膏,彩妆,224.0,24832,55293,0
X107,商品107,睫毛膏,彩妆,182.0,6509,20452,0
X108,商品108,睫毛膏,彩妆,223.0,44506,72504,0
X109,商品109,睫毛膏,彩妆,180.0,3707,7026,0
X110,商品110,睫毛膏,彩妆,204.0,1588,30920,0
X111,商品111,睫毛膏,彩妆,200.0,2007,10752,0
X112,商品112,睫毛膏,彩妆,96.0,161,5864,0
X113,商品113,睫毛膏,彩妆,117.0,2108,6918,0
X114,商品114,睫毛膏,彩妆,149.0,1608,6784,0
X115,商品115,睫毛膏,彩妆,136.0,1577,8430,0
X116,商品116,蜜粉,彩妆,147.0,3818,4603,0
X117,商品117,蜜粉,彩妆,113.0,691,8555,0
X118,商品118,蜜粉,彩妆,238.0,909,1721,0
X119,商品119,蜜粉,彩妆,128.0,371,8017,0
X120,商品120,蜜粉,彩妆,213.0,1664,6898,0
X121,商品121,蜜粉,彩妆,76.0,434,6428,0
X122,商品122,蜜粉,彩妆,84.0,2777,4575,0
TB-A10027317366,相宜本草红景天护肤套装美白补水保湿女化妆品,其他,其他,188.0,36642,209387,1
TB-A12459362636,美宝莲小金笔 极细防水易画眼线笔持久浓黑速干防水不晕染眼线液,其他,其他,99.0,300890,211579,0
TB-A12620554096,相宜本草四倍多萃4件套装补水保湿女护肤品秋冬,其他,其他,118.0,19661,285109,1
TB-A12727688676,美宝莲眼唇卸妆液 脸部眼部及唇部卸妆油卸妆水温和清爽深层清洁,卸妆,卸妆,67.0,149925,493622,0
TB-A13903451152,美宝莲紫胖子密扇睫毛膏 防水纤长浓密不易晕染卷翘持久定型正品,睫毛膏,睫毛膏,109.0,75568,233172,0
TB-A13956982789,相宜本草红石榴护肤化妆品套装女美白补水乳保湿,其他,其他,218.0,183609,444271,1
TB-A14173931801,蜜丝佛陀水漾触感粉底霜液膏  遮瑕控油保湿强 彩妆专柜正品,粉底,粉底,151.0,84791,438456,0
TB-A15486609514,innisfree/悦诗风吟控油矿物质散粉5g 蜜粉饼粉底定妆持久 彩妆,粉底,粉底,50.0,106816,360833,0
TB-A15578714504,innisfree/悦诗风吟绿茶水乳套装 补水保湿控油护肤品韩国化妆品,其他,其他,230.0,162058,324388,1
TB-A16332084233,L'OREAL欧莱雅男士控油炭爽抗黑头洁面膏 收缩毛孔洗面奶,洁面,洁面,39.0,159651,184314,0
TB-A16455720259,innisfree悦诗风吟绿茶保湿洁面膏洗面奶 深层清洁补水洁面乳男女,洁面,洁面,55.0,23660,358343,0
TB-A19478755972,L'OREAL欧莱雅男士火山岩控油清痘洁面膏 去黑头洗面奶,洁面,洁面,39.0,752094,380755,0
TB-A21625571512,CHANDO/自然堂水润保湿面部护理套装 洗面奶爽肤水乳液面霜补水女,面霜,面霜,189.0,67740,346091,1
TB-A2251552580,专柜正品相宜本草光彩立现白茶睡眠面膜补水保湿女滋润,面膜,面膜,35.0,344515,357015,0
TB-A2251610120,正品相宜本草四倍多萃润泽洁面膏深层清洁滋润补水保湿,洁面,洁面,29.0,273242,225376,0
TB-A2253094636,相宜本草去死皮膏洁净面部全身温和去角质补水化妆,其他,其他,35.0,304924,592269,0
TB-A2253281880,相宜本草橄榄油护手霜滋润保湿补水秋冬护理女80g*2支,其他,其他,22.8,357187,279548,0
TB-A2253507922,相宜本草八倍凝水霜补水保湿女滋润亮肤八杯水护肤品面霜正品,面霜,面霜,39.0,198912,315567,0
TB-A2253538990,专柜正品相宜本草滋养紧致眼霜女保湿淡化细纹黑眼圈补水护肤品,眼霜,眼霜,49.0,323703,406474,0
TB-A2253833774,相宜本草清透防晒露SPF30清爽保湿女防晒霜补水护,防晒,防晒,42.0,158312,299091,0
TB-A23830376808,蜜丝佛陀透滑粉饼 干湿两用遮瑕控油防晒定妆 彩妆专柜正品,防晒,防晒,151.0,421555,355272,0
TB-A24304992630,德国妮维雅男士洗面奶控油祛痘印保湿去黑头去油清洁面乳液护肤品,洁面,洁面,42.0,2584599,1923160,0
TB-A26487404578,CHANDO/自然堂水润保湿洗颜霜 专柜正品 洗面奶女 深层清洁不紧绷,其他,其他,38.0,11774,189494,0
TB-A3096780174,相宜本草红景天幼白面膜免洗睡眠面膜补水保湿,面膜,面膜,89.0,255467,214912,0
TB-A39876413435,美宝莲好气色轻唇膏 持久滋润保湿补水口红不易褪色不干唇彩正品,口红,口红,79.0,264700,356394,0
TB-A44933014185,新品美宝莲好气色轻唇膏咬唇妆 口红 唇膏 持久保湿 一抹三色咬唇,口红,口红,99.0,226644,220881,0
TB-A520711852230,雅漾 舒护活泉水喷雾300ml 大喷 冬季补水保湿 舒缓修护敏感肌肤,喷雾,喷雾,186.0,19446,186200,0
TB-A522641348002,【预售】 innisfree/悦诗风吟真萃鲜润面膜15片套装 保湿补水舒缓,面膜,面膜,80.0,231582,327293,1
TB-A7895042908,L'OREAL欧莱雅男士护肤劲能醒肤露 8重功效滋润补水,其他,其他,89.0,23873,266613,0
TB-A8433031697,佰草集平衡洁面乳100g泡沫深层清洁洗面奶男女控油补水保湿包邮,洁面,洁面,60.0,173496,179310,0
