商品编号,商品名称,商品小类,商品大类,历史总销量,订单数,当前库存量,最近补货日期
X059,商品59,隔离霜,护肤品,367648,400,14357,2025-11-18
X012,商品12,面膜,护肤品,52241,62,2144,2025-11-13
X119,商品119,蜜粉,彩妆,8017,8,371,2025-11-19
X101,商品101,睫毛膏,彩妆,68023,74,3383,2025-11-19
X096,商品96,眼影,彩妆,31541,39,1624,2025-11-03
TB-A13956982789,相宜本草红石榴护肤化妆品套装女美白补水乳保湿,其他,其他,444271,0,183609,2025-11-21
X026,商品26,面霜,护肤品,351001,412,18551,2025-11-08
X110,商品110,睫毛膏,彩妆,30920,35,1588,2025-11-17
X121,商品121,蜜粉,彩妆,6428,6,434,2025-11-14
TB-A14173931801,蜜丝佛陀水漾触感粉底霜液膏  遮瑕控油保湿强 彩妆专柜正品,粉底,粉底,438456,0,84791,2025-11-25
X085,商品85,口红,彩妆,349375,381,19833,2025-11-25
X024,商品24,眼霜,护肤品,356235,397,20611,2025-11-07
X071,商品71,防晒霜,护肤品,356626,398,19989,2025-11-22
X034,商品34,面霜,护肤品,326502,363,19244,2025-11-03
X117,商品117,蜜粉,彩妆,8555,8,691,2025-11-29
TB-A2253833774,相宜本草清透防晒露SPF30清爽保湿女防晒霜补水护,防晒,防晒,299091,0,158312,2025-11-25
X038,商品38,面霜,护肤品,331976,388,20513,2025-11-07
X089,商品89,粉底,彩妆,321620,373,22664,2025-11-24
X078,商品78,口红,彩妆,331329,393,23931,2025-11-21
X045,商品45,洁面乳,护肤品,359552,396,26736,2025-11-23
X098,商品98,眼影,彩妆,37711,37,2826,2025-11-19
X067,商品67,隔离霜,护肤品,323909,357,27757,2025-11-06
TB-A2253507922,相宜本草八倍凝水霜补水保湿女滋润亮肤八杯水护肤品面霜正品,面霜,面霜,315567,0,198912,2025-11-10
TB-A13903451152,美宝莲紫胖子密扇睫毛膏 防水纤长浓密不易晕染卷翘持久定型正品,睫毛膏,睫毛膏,233172,0,75568,2025-11-17
X102,商品102,睫毛膏,彩妆,63751,69,5869,2025-11-22
X005,商品5,面膜,护肤品,365155,401,35171,2025-11-22
X052,商品52,爽肤水,护肤品,67745,82,11856,2025-11-28
X115,商品115,睫毛膏,彩妆,8430,8,1577,2025-11-11
X049,商品49,爽肤水,护肤品,345813,391,34257,2025-11-26
X037,商品37,面霜,护肤品,283378,318,51053,2025-11-30
X011,商品11,面膜,护肤品,346706,406,60925,2025-11-26
X090,商品90,粉底,彩妆,24697,32,2898,2025-11-17
X120,商品120,蜜粉,彩妆,6898,6,1664,2025-11-03
X013,商品13,面膜,护肤品,322522,375,38191,2025-11-03
X075,商品75,防晒霜,护肤品,346371,394,70026,2025-11-06
X029,商品29,面霜,护肤品,360882,403,73266,2025-11-05
X025,商品25,眼霜,护肤品,368243,402,77347,2025-11-21
X017,商品17,眼霜,护肤品,306039,345,63791,2025-11-15
X062,商品62,隔离霜,护肤品,355073,402,47999,2025-11-15
X064,商品64,隔离霜,护肤品,317196,366,67476,2025-11-06
X058,商品58,爽肤水,护肤品,34105,43,7206,2025-11-16
X070,商品70,防晒霜,护肤品,271860,311,36464,2025-11-28
TB-A2253094636,相宜本草去死皮膏洁净面部全身温和去角质补水化妆,其他,其他,592269,0,304924,2025-11-10
X040,商品40,面霜,护肤品,321323,368,44170,2025-11-26
X104,商品104,睫毛膏,彩妆,60305,70,12996,2025-11-16
X035,商品35,面霜,护肤品,310221,361,66197,2025-11-18
X111,商品111,睫毛膏,彩妆,10752,10,2007,2025-11-06
X036,商品36,面霜,护肤品,338442,378,79177,2025-11-18
X007,商品7,面膜,护肤品,317865,365,74792,2025-11-11
X114,商品114,睫毛膏,彩妆,6784,9,1608,2025-11-02
X060,商品60,隔离霜,护肤品,27849,30,6781,2025-11-16
X093,商品93,粉底,彩妆,8212,9,2116,2025-11-04
X003,商品3,面膜,护肤品,362913,415,87627,2025-11-28
X008,商品8,面膜,护肤品,393884,433,97688,2025-11-14
X113,商品113,睫毛膏,彩妆,6918,8,2108,2025-11-19
X053,商品53,爽肤水,护肤品,62072,72,16414,2025-11-23
X094,商品94,粉底,彩妆,64430,80,16915,2025-11-07
X054,商品54,爽肤水,护肤品,314453,351,87163,2025-11-08
X066,商品66,隔离霜,护肤品,83023,81,22966,2025-11-03
TB-A15578714504,innisfree/悦诗风吟绿茶水乳套装 补水保湿控油护肤品韩国化妆品,其他,其他,324388,0,162058,2025-11-16
TB-A2253538990,专柜正品相宜本草滋养紧致眼霜女保湿淡化细纹黑眼圈补水护肤品,眼霜,眼霜,406474,0,323703,2025-11-10
X046,商品46,洁面乳,护肤品,327941,392,96054,2025-11-29
X021,商品21,眼霜,护肤品,351451,396,103455,2025-11-02
X028,商品28,面霜,护肤品,60409,68,18306,2025-11-15
X107,商品107,睫毛膏,彩妆,20452,23,6509,2025-11-28
X033,商品33,面霜,护肤品,57531,66,18402,2025-11-19
TB-A2251552580,专柜正品相宜本草光彩立现白茶睡眠面膜补水保湿女滋润,面膜,面膜,357015,0,344515,2025-11-09
TB-A2253281880,相宜本草橄榄油护手霜滋润保湿补水秋冬护理女80g*2支,其他,其他,279548,0,357187,2025-11-29
TB-A2251610120,正品相宜本草四倍多萃润泽洁面膏深层清洁滋润补水保湿,洁面,洁面,225376,0,273242,2025-11-20
X082,商品82,口红,彩妆,26218,28,8976,2025-11-08
X080,商品80,口红,彩妆,368684,420,127287,2025-11-24
TB-A522641348002,【预售】 innisfree/悦诗风吟真萃鲜润面膜15片套装 保湿补水舒缓,面膜,面膜,327293,0,231582,2025-11-16
TB-A3096780174,相宜本草红景天幼白面膜免洗睡眠面膜补水保湿,面膜,面膜,214912,0,255467,2025-11-28
TB-A39876413435,美宝莲好气色轻唇膏 持久滋润保湿补水口红不易褪色不干唇彩正品,口红,口红,356394,0,264700,2025-11-10
X084,商品84,口红,彩妆,29984,37,11127,2025-11-20
X019,商品19,眼霜,护肤品,329367,385,122498,2025-11-04
X087,商品87,口红,彩妆,65408,73,24481,2025-11-30
TB-A16332084233,L'OREAL欧莱雅男士控油炭爽抗黑头洁面膏 收缩毛孔洗面奶,洁面,洁面,184314,0,159651,2025-11-22
X056,商品56,爽肤水,护肤品,260999,334,101693,2025-11-02
X118,商品118,蜜粉,彩妆,1721,5,909,2025-11-09
X023,商品23,眼霜,护肤品,374458,428,149299,2025-11-27
X043,商品43,洁面乳,护肤品,64729,82,26153,2025-11-24
X079,商品79,口红,彩妆,351763,373,147765,2025-11-05
X086,商品86,口红,彩妆,53584,61,22990,2025-11-02
TB-A8433031697,佰草集平衡洁面乳100g泡沫深层清洁洗面奶男女控油补水保湿包邮,洁面,洁面,179310,0,173496,2025-11-20
X044,商品44,洁面乳,护肤品,374644,394,160482,2025-11-28
X077,商品77,口红,彩妆,204981,236,88441,2025-11-09
TB-A19478755972,L'OREAL欧莱雅男士火山岩控油清痘洁面膏 去黑头洗面奶,洁面,洁面,380755,0,752094,2025-11-22
TB-A12459362636,美宝莲小金笔 极细防水易画眼线笔持久浓黑速干防水不晕染眼线液,其他,其他,211579,0,300890,2025-11-11
X097,商品97,眼影,彩妆,65610,78,28996,2025-11-02
X072,商品72,防晒霜,护肤品,337563,392,150790,2025-11-13
X106,商品106,睫毛膏,彩妆,55293,63,24832,2025-11-14
X100,商品100,眼影,彩妆,69532,79,32327,2025-12-01
X004,商品4,面膜,护肤品,318922,370,144720,2025-11-13
X083,商品83,口红,彩妆,53075,63,24718,2025-12-01
TB-A44933014185,新品美宝莲好气色轻唇膏咬唇妆 口红 唇膏 持久保湿 一抹三色咬唇,口红,口红,220881,0,226644,2025-11-17
X039,商品39,面霜,护肤品,314272,357,147779,2025-11-02
X088,商品88,粉底,彩妆,332724,382,157973,2025-12-01
X061,商品61,隔离霜,护肤品,330588,366,159522,2025-11-15
X042,商品42,洁面乳,护肤品,322762,369,156934,2025-11-28
X032,商品32,面霜,护肤品,53230,66,30167,2025-11-28
X031,商品31,面霜,护肤品,341030,386,171680,2025-11-04
X048,商品48,爽肤水,护肤品,349336,384,174775,2025-11-26
X010,商品10,面膜,护肤品,324219,357,163580,2025-11-04
TB-A23830376808,蜜丝佛陀透滑粉饼 干湿两用遮瑕控油防晒定妆 彩妆专柜正品,防晒,防晒,355272,0,421555,2025-11-15
X109,商品109,睫毛膏,彩妆,7026,8,3707,2025-11-30
TB-A24304992630,德国妮维雅男士洗面奶控油祛痘印保湿去黑头去油清洁面乳液护肤品,洁面,洁面,1923160,0,2584599,2025-11-08
X103,商品103,睫毛膏,彩妆,70807,67,37530,2025-11-26
X073,商品73,防晒霜,护肤品,57588,67,30893,2025-12-01
X069,商品69,防晒霜,护肤品,341213,386,186441,2025-11-14
X065,商品65,隔离霜,护肤品,353494,376,192418,2025-11-09
X095,商品95,眼影,彩妆,55773,72,32402,2025-11-28
X018,商品18,眼霜,护肤品,359431,398,203283,2025-11-24
X076,商品76,防晒霜,护肤品,64291,66,40124,2025-11-30
X116,商品116,蜜粉,彩妆,4603,7,3818,2025-11-20
X122,商品122,蜜粉,彩妆,4575,7,2777,2025-11-22
X108,商品108,睫毛膏,彩妆,72504,87,44506,2025-11-02
X015,商品15,面膜,护肤品,382524,406,236932,2025-11-01
X014,商品14,面膜,护肤品,345249,405,215082,2025-11-07
X050,商品50,爽肤水,护肤品,356920,401,225285,2025-11-30
X063,商品63,隔离霜,护肤品,69876,74,44656,2025-11-20
X055,商品55,爽肤水,护肤品,331048,377,211973,2025-11-21
X006,商品6,面膜,护肤品,34547,36,22947,2025-11-10
X081,商品81,口红,彩妆,9591,9,6956,2025-11-17
X105,商品105,睫毛膏,彩妆,43727,51,30053,2025-11-06
